JobId,Category,Location,Position,Links
3347,Human Capital,HYD,Sourcing Manager/International Human Resources Operations and Projects,https://www.deshawindia.com/careers/sourcing-manager-international-human-resources-operations-and-projects-hyderabad-3347
2614,Front Office Tech,HYD,Front Office Tech/Senior Member Technical or Project Lead/Software Developer (All positions),https://www.deshawindia.com/careers/front-office-tech-senior-member-technical-or-project-lead-software-developer-all-positions-hyderabad-2614
2781,Financial Operations,HYD,All positions in Financial Operations,https://www.deshawindia.com/careers/all-positions-in-financial-operations-hyderabad-2781
3350,Quality and Test Engineering,HYD,Project Lead/Test Engineer (Trading connectivity/Payroll),https://www.deshawindia.com/careers/project-lead-test-engineer-trading-connectivity-payroll-hyderabad-3350
3858,Administration,HYD,Specialist/Senior Specialist – Executive Assistant – DESIS Management,https://www.deshawindia.com/careers/specialist-senior-specialist-executive-assistant-desis-management-hyderabad-3858
3663,Design and User Experience,HYD,Tech/Front Office Tech/Interaction Designer/Senior Interaction Designer,https://www.deshawindia.com/careers/tech-front-office-tech-interaction-designer-senior-interaction-designer-hyderabad-3663
2759,Design and User Experience,HYD,All Positions in Design and User Experience,https://www.deshawindia.com/careers/all-positions-in-design-and-user-experience-hyderabad-2759
3988,Financial Operations,HYD,Analyst Investor Relations (Operations),https://www.deshawindia.com/careers/analyst-investor-relations-operations-hyderabad-3988
3864,Financial Operations,HYD,Analyst/Senior Analyst/Data Analytics,https://www.deshawindia.com/careers/analyst-senior-analyst-data-analytics-hyderabad-3864
3761,Financial Operations,HYD,Analyst/Sr Analyst /Investor Relations,https://www.deshawindia.com/careers/analyst-sr-analyst-investor-relations-hyderabad-3761
2485,Financial Operations,HYD,Industrial Trainee,https://www.deshawindia.com/careers/industrial-trainee-hyderabad-2485
3704,Financial Operations,HYD,Manager/Financial Planning & Analysis,https://www.deshawindia.com/careers/manager-financial-planning-analysis-hyderabad-3704
4116,Financial Operations,HYD,Manager/Senior Manager - Financial Reporting,https://www.deshawindia.com/careers/manager-senior-manager-financial-reporting-hyderabad-4116
